Product Name,Original Price,Final Price,Discount,Ratings,Total Reviews,Company,Total Ratings,Total Reviews Extracted
Acer Chromebook Plus Google AI Intel Core i3 13th Gen 1315U - (8 GB/256 GB SSD/Chrome OS) CB515-2H-34Y...,52999.0,22990.0,56,3.8,174 Ratings & 18 Reviews,Acer,174,18
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,57499.0,41990.0,26,4.5,"2,682 Ratings & 339 Reviews",SAMSUNG,2682,339
Acer Nitro V AMD Ryzen 7 Octa Core 7735HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,87499.0,68990.0,21,4.3,272 Ratings & 39 Reviews,Acer,272,39
Lenovo LOQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,104490.0,70371.0,32,4.3,"1,466 Ratings & 131 Reviews",Lenovo,1466,131
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,69990.0,42190.0,39,4.2,"7,481 Ratings & 419 Reviews",ASUS,7481,419
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Thin and Light L...,32790.0,23650.0,27,3.8,"1,442 Ratings & 124 Reviews",Lenovo,1442,124
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,32999.0,22990.0,30,3.9,"2,005 Ratings & 164 Reviews",Acer,2005,164
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,89999.0,59990.0,33,4.3,942 Ratings & 84 Reviews,Acer,942,84
Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,28690.0,12990.0,54,3.8,"1,442 Ratings & 124 Reviews",Lenovo,1442,124
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,53000.0,40990.0,22,4.1,"2,677 Ratings & 193 Reviews",Acer,2677,193
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-NK0453 C...,32990.0,13990.0,57,3.8,"2,583 Ratings & 227 Reviews",ASUS,2583,227
SAMSUNG Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Windows 1...,153588.0,131990.0,14,0.0,nan,SAMSUNG,0,0
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",66990.0,48990.0,26,4.2,"7,481 Ratings & 419 Reviews",ASUS,7481,419
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,79999.0,52990.0,33,4.3,"1,820 Ratings & 133 Reviews",Acer,1820,133
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Ho...",74990.0,45990.0,38,4.1,135 Ratings & 5 Reviews,ASUS,135,5
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin...,54990.0,32990.0,40,4.3,"12,142 Ratings & 950 Reviews",ASUS,12142,950
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Windows 1...,137988.0,114990.0,16,0.0,nan,SAMSUNG,0,0
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,49999.0,31990.0,36,4.2,"1,192 Ratings & 108 Reviews",Acer,1192,108
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light La...,56260.0,41370.0,26,4.2,"6,839 Ratings & 564 Reviews",HP,6839,564
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...",54990.0,32700.0,40,4.3,"12,142 Ratings & 950 Reviews",ASUS,12142,950
SAMSUNG Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 7 256V - (16 GB/1 TB SSD/Windows 11 ...,187190.0,155990.0,16,0.0,nan,SAMSUNG,0,0
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,32990.0,14990.0,54,3.8,"2,233 Ratings & 201 Reviews",ASUS,2233,201
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Th...,50990.0,29990.0,41,4.2,"4,753 Ratings & 461 Reviews",ASUS,4753,461
Acer Aspire Lite Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) AL15-52H Thin and Li...,63990.0,49990.0,21,4.2,351 Ratings & 37 Reviews,Acer,351,37
HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Lig...,31990.0,25799.0,19,4.1,273 Ratings & 26 Reviews,HP,273,26
Lenovo V15 AMD Ryzen 3 Quad Core 7th Gen 7320U - (8 GB/512 GB SSD/Windows 11 Home/1 GB Graphics) V15 G...,39990.0,27490.0,31,3.9,42 Ratings & 4 Reviews,Lenovo,42,4
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS Th...,44990.0,30990.0,31,0.0,nan,ASUS,0,0
DELL Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop,49149.0,36990.0,24,4.2,69 Ratings & 10 Reviews,DELL,69,10
