Product Name,Original Price,Final Price,Discount,Ratings,Total Reviews,Company
Acer Chromebook Plus Google AI Intel Core i3 13th Gen 1315U - (8 GB/256 GB SSD/Chrome OS) CB515-2H-34Y...,"52,999","22,990",56% off,3.8,174 Ratings & 18 Reviews,Acer
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"57,499","41,990",26% off,4.5,"2,682 Ratings & 339 Reviews",SAMSUNG
Acer Nitro V AMD Ryzen 7 Octa Core 7735HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"87,499","68,990",21% off,4.3,272 Ratings & 39 Reviews,Acer
Lenovo LOQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"1,04,490","70,371",32% off,4.3,"1,466 Ratings & 131 Reviews",Lenovo
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,"69,990","42,190",39% off,4.2,"7,481 Ratings & 419 Reviews",ASUS
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Thin and Light L...,"32,790","23,650",27% off,3.8,"1,442 Ratings & 124 Reviews",Lenovo
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,"32,999","22,990",30% off,3.9,"2,005 Ratings & 164 Reviews",Acer
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,"89,999","59,990",33% off,4.3,942 Ratings & 84 Reviews,Acer
Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,"28,690","12,990",54% off,3.8,"1,442 Ratings & 124 Reviews",Lenovo
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,"53,000","40,990",22% off,4.1,"2,677 Ratings & 193 Reviews",Acer
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-NK0453 C...,"32,990","13,990",57% off,3.8,"2,583 Ratings & 227 Reviews",ASUS
SAMSUNG Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Windows 1...,"1,53,588","1,31,990",14% off,,,SAMSUNG
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...","66,990","48,990",26% off,4.2,"7,481 Ratings & 419 Reviews",ASUS
